"","Denominación_social","Domicilio_social","Latitud","Longitud","Fecha_constitución","CNAE","Objeto_social","Tamaño_empresa_por_facturación","Índice_crec_interanual_ventas","Tamaño_empresa_por_empleados","Empleo_fijo","Empleo_temporal","Teléfono","Estado","URL","Metatag_descripción","RRSS","Cotización_en_bolsa","Actividad_internacional","Capital_social","Empleados","Empleados_año","Resultado","Municipio"
"445","Bodegas Vegaranda Sl.","AVENIDA ARAGON, S/N",41.652904,-3.680707,"01/06/2012","1102 - Elaboración de vinos","Elaboración y crianza, asi como embotellado y venta de vinos, mostos, y todo tipo de bebidas alcohólicas o no, así como su comercio mayor y menor. Actividades agrícolas y ganaderas, así como comercio al por mayor y menor de productos de esas actividades. Hostelería y alimentación","Menor de 300 mil €","2017: 
2018: -12,15 %
2019: 31,24 %","-","Administrador Solidario:  JAVIER G...
 ALBERTO G...:  JAVIER G...","Administrador Solidario: Administrador Solidario
 ALBERTO G...: Administrador Solidario","947501817","Activa","-","-","-","NO","No constan","3.000 €","-","-","Positivo Consultar","Aranda de Duero"
"457","Altos Del Terral Sl","CALLE BARRIONUEVO, 11 - PLT 1 B",41.67182781,-3.68747848,"14/05/2008","1102 - Elaboración de vinos","ELABORACION Y CRIANZA DE VINOS, ASI COMO SU COMERCIALIZACION. PRESTACION DE SERVICIOS DE ASESORAMIENTO ENOLOGICO.","Menor de 300 mil €","2016: 
2017: 39,05 %
2018: 7,04 %","Menos de 5","2014: 100,00 %
2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %","2014: 0 %
2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %","947512215","Activa","http://www.altosdelterral.com","- -","","NO","No constan","23.100 €","2 (año 2018)","2018","Negativo Consultar","Aranda de Duero"
"505","Ramos Ducher Sl.","CALLE CASTAÑO, 21 - BJ",41.67454799,-3.63009962,"11/03/2015","1102 - Elaboración de vinos","Elaboración, crianza y comercio de mostos, vinos y bebidas. Explotación de bodegas. Actividades agrícolas y ganaderas, así como el comercio de productos y materias primas para su desarrollo. Servicios de consultoría de las actividades anteriores. Negocios de alimentación, hostería y hospedaje","Menor de 300 mil €","2017: 
2018: 121,54 %
2019: -19,62 %","-","Administrador Único:  DAVID R...","-","-","Activa","-","-","-","NO","No constan","21.000 €","-","-","Negativo Consultar","Aranda de Duero"
"506","Vina Aguilera S.l.","CARRETERA ESTACION (KM 9)",41.668414,-3.690134,"31/03/2005","1102 - Elaboración de vinos","LA ELABORACION, CRIANZA, ENVASADO Y COMERCIALIZACION DE VINOS, INCLUIDOS LOS DE DENOMINACION DE ORIGEN. LA EXPORTACION E IMPORTACION DE VINOS Y PRODUCTOS ALIMENTICIOS. LA EXPLOTACION DE NEGOCIOS DE HOSTELERIA Y RESTAURAC","Menor de 300 mil €","2017: 
2018: -74,1 %
2019: 84,25 %","Menos de 5","2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %","947559515","Activa","-","-","-","NO","No constan","54.900 €","2 (año 2019)","2019","Positivo Consultar","Aranda de Duero"
"553","World Exim Of Traditional Wines Foods And Spirits Sl.","PLAZA SANTA MARIA, 3 - BJ",41.671205,-3.6895,"05/12/2012","1102 - Elaboración de vinos","-Elaboración de vinos del país. -Explotación vitivinícola. -Comercialización, importación y exportación de productos alimenticios, bebidas de diferente graduación y objetos de artesanía","-","Administrador Solidario:  RUBEN S...
Administrador Solidario:  FELIX M...","-","-","-","-","Activa","-","-","-","NO","No constan","3.200 €","-","-","Negativo Consultar","Aranda de Duero"
"576","Bodegas Peñalba Herraiz Sl","CALLE SOL DE LAS MORERAS, 3 - 2 DR",41.66992,-3.684459,"16/09/2005","1102 - Elaboración de vinos","A) LA ELABORACION Y CRIANZA, ASI COMO EMBOTELLADO Y VENTA DE VINOS, MOSTOS, DERIVADOS Y TODO TIPO DE BEBIDAS ALCOHOLICAS O NO, ASI COMO EL COMERCIO MAYOR Y MENOR DE ESTOS PRODUCTOS. B) ACTIVIDADES AGRICOLAS Y GANADERAS,","Menor de 300 mil €","2017: 
2018: 68,15 %
2019: 43,58 %","-","Administrador:  MIGUEL ANGEL P...
 MARIA ELENA H...:  MIGUEL ANGEL P...","Administrador: Administrador
 MARIA ELENA H...: Administrador","947508249","Activa","http://www.carravid.com","Bodegas Peñalba Herraiz en Aranda de Duero es una bodega de vinos Ribera del Duero. Entre nuestros vinos comercializamos las marcas Aptus y Carravid  ambas con la D. O Ribera de Duero. bodega de vinos ribera del duero,  bodega devino ribera del duero,  bodega de vino de la ribera del duero, bodega vinos ribera del duero, bodega vino de la ribera del duero, ribera del duero bodega vino","","NO","No constan","36.993 €","-","-","Negativo Consultar","Aranda de Duero"
"642","Dominio De San Antonio S.l. (en Liquidacion)","CALLE CARREQUEMADA, 33",41.671799,-3.683721,"12/04/1995","1102 - Elaboración de vinos","ELABORACION, CRIANZA EMBOTELLADO VINOS. COMPRAVENTA VINOS ELABORADOS, ASI COMO DE SUS SUBPRODUCTOS. PRODUCTOS ALIMENTARIOS. TRANSPORTE MERCANCIAS. COMPRA DE BIENES MUEBLES E INMUEBLES.","Menor de 300 mil €","2012: 
2013: -49,37 %","-","Liquidador:  JOSE LUIS S...","-","947513532","Activa","-","-","-","NO","No constan","349.882,4 €","-","-","Negativo Consultar","Aranda de Duero"
"651","Bodegas Triennia Sl  (extinguida)","POLIGONO INDUSTRIAL ALLENDE DE DUERO (CL NUEVA -), 3",0,0,"02/03/2007","1102 - Elaboración de vinos","ACTIVIDADES RELATIVAS A LA ELABORACION, CRIANZA, EMBOTELLADO Y COMPRAVENTA DE VINOS, ASI COMO DE LICORES Y BEBIDAS. FABRICACION DE EMBALAJES Y OTROS ENSERES QUE SE UTILICEN PARA LOS PRODUCTOS DE SU ACTIVIDAD. TENENCIA DE","-","-","-","-","-","-","Extinguida","-","-","-","NO","No constan","3.006 €","-","-","-","Aranda de Duero"
"875","Bodega J. Agricola Viñas Sl.","CALLE PADRE JANARIZ, 21",41.67352431,-3.69140757,"02/05/2019","1102 - Elaboración de vinos","Compraventa de todo tipo de productos alimenticios y bebidas alcohólicas y no alcohólicas. Elaboración y crianza de vino, embotellado y venta de vinos, mostos y derivados. Explotaciones agrícolas. Prestaciones de servicios agrícolas a terceros. Intermediación del comercio. Actividades inmobiliarias","-","Administrador Único:  ROSA MARIA A...","-","-","-","-","Activa","-","-","-","NO","No constan","3.000 €","-","-","-","Aranda de Duero"
"979","Bodegas Castroizan Sl","CALLE PICOTE, 18",41.67018253,-3.70542459,"19/12/2002","1102 - Elaboración de vinos","Elaboración y crianza de vinos de Rivera de Aranda.","Entre 0,6 y 1,5 millones €","2013: 
2014: 14,17 %
2015: -19,81 %
2017:  %","Menos de 5","2011: 0 %
2012: 0 %
2013: 0 %
2014: 0 %
2015: 75,00 %","2011: 100,00 %
2012: 100,00 %
2013: 100,00 %
2014: 100,00 %
2015: 25,00 %","947546414","Activa","http://www.vinabuena.com","- -","","NO","No constan","912.000 €","1 (año 2018)","2018","Positivo Consultar","Aranda de Duero"
"1022","Bodegas Izquierdo S.l.","CALLE SAN ISIDRO, 12 - PLT 3 B",41.675929,-3.684426,"21/02/1997","1102 - Elaboración de vinos","ELABORACION Y CRIANZA DE VINOS CON O SIN DENOMINACION DE ORIGEN, ASI COMO SU COMERCIALIZACION Y DISTRIBUCION. EXPLOTACIONES AGRICOLAS DE VINEDOS Y CEREALES. SERVICIOS DE ENOLOGIA, TALES COMO DIRECCION ENOLOGICA DE BODEGA","Menor de 300 mil €","2011: 
2012: -0,21 %","Menos de 5","2006: 100,00 %
2007: 100,00 %
2008: 100,00 %
2011: 100,00 %
2012: 100,00 %","2006: 0 %
2007: 0 %
2008: 0 %
2011: 0 %
2012: 0 %","-","Activa","-","-","-","NO","No constan","16.900 €","1 (año 2012)","2012","Positivo Consultar","Aranda de Duero"
"1038","Bodegas Sello Cuarto S.l.","CALLE SAN FRANCISCO, 40",41.67575838,-3.68565235,"08/06/2001","1102 - Elaboración de vinos","1) LA ELABORACION, CRIANZA Y COMERCIALIZACION DE VINOS, INCLUYENDO LA RECEPCION, DESPALILLADO, PRENSADO, FERMENTACION, EMBOTELLADO Y ETIQUETADO DEL VINO. 2) LA PRODUCCION DE UVA, CON SU VENDIMIA Y COSECHA.","-","Administrador Único:  PIEDAD BEATRIZ E...","-","-","-","-","Activa","-","-","-","NO","No constan","106.000 €","-","-","Negativo Consultar","Aranda de Duero"
"1093","Viña Buena Sa","POLIGONO INDUSTRIAL ALLENDE DE DUERO, 96 - PAR 15",41.670238,-3.711496,"07/02/1987","1102 - Elaboración de vinos","Elaboración , crianza y distribución de vinos en general","Entre 3 y 6 millones €","2016: 
2017: 30,57 %
2018: -19,03 %","Entre 5 y 25","2014: 12,50 %
2015: 11,11 %
2016: 27,27 %
2017: 25,00 %
2018: 40,00 %","2014: 87,50 %
2015: 88,88 %
2016: 72,72 %
2017: 75,00 %
2018: 60,00 %","947546414","Activa","-","-","-","NO","No constan","797.650 €","10 (año 2018)","2018","Positivo Consultar","Aranda de Duero"
"1094","Bodegas Teniles Sa.","LUGAR PAGO PERIQUILLOS (POL. 8), 365",0,0,"26/08/2003","1102 - Elaboración de vinos","ELABORACION, CRIANZA Y COMERCIALIZACION DE VINOS. COMPRAVENTA, EXPORTACION E IMPORTACION DE VINOS Y BEBIDAS DE TODAS LAS CLASES. EXPLOTACION DE VINEDOS. ALQUILER Y COMPRAVENTA DE BIENES RUSTICOS Y URBANOS. PRESTACION DE","Menor de 300 mil €","2004: 
2005: 107,98 %","Menos de 5","2005: 100,00 %","2005: 0 %","-","Activa","-","-","-","NO","No constan","60.102 €","2 (año 2005)","2005","Negativo Consultar","Aranda de Duero"
"1140","Cristobal Villanueva Jesus","-",NA,NA,"-","1102 - Elaboración de vinos","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Aranda de Duero"
"1287","Vinicola Arandina Sa","CALLE PICOTE, 29",41.66908963,-3.70517621,"10/07/1992","1102 - Elaboración de vinos","INVERSIONES Y PROMOCIONES VINICOLAS. COMERCIO DE VINOS, ALCOHOLES Y DERIVADOS.","Menor de 300 mil €","2013: 
2014: 22,91 %","Entre 5 y 25","2004: 100,00 %
2005: 80,00 %
2006: 50,00 %
2013: 60,00 %
2014: 60,00 %","2004: 0 %
2005: 20,00 %
2006: 50,00 %
2013: 40,00 %
2014: 40,00 %","-","Activa","-","-","-","NO","No constan","162.273,27 €","5 (año 2014)","2014","Negativo Consultar","Aranda de Duero"
"1350","Dominio De Salvatierra Sl.","CALLE BARRIONUEVO, 28",41.67179085,-3.68723503,"21/08/2020","1102 - Elaboración de vinos","La explotación industrial y comercial de los ramos de vinicultura, elaboración, crianza compraventa, exportación e importación de vinos y licores de todas clases y su comercialización. La explotación compraventa y adquisición, en todo o en parte y el arriendo de bodegas, almacenes, destilerías","-","Administrador Único:  MARIA V...","-","-","-","-","Activa","-","-","-","NO","Importa y Exporta","3.000 €","-","-","-","Aranda de Duero"
"1420","Proyectos Vinicolas De España Sl","CALLE ISILLA, 10 - PISO 3 A",41.67113797,-3.68664839,"11/06/1997","1102 - Elaboración de vinos","EL COMERCIO DE TODO TIPO DE VINOS Y BEBIDAS DE TODAS CLASES LA PLANTACION Y COMERCIALIZACION DE UVA. LA PRODUCCION DE VINOS Y SUS DERIVADOS.","-","Administrador:  MARIA ISABEL A...
Administrador Solidario:  RAQUEL M...","-","-","-","-","Activa","-","-","-","NO","No constan","151.800 €","-","-","Negativo Consultar","Aranda de Duero"
"1421","Bodegas Paramo De Fresnedo Sl (extinguida)","CARRETERA AGUILERA (KM 3.500), APARTADO CORREOS 29",0,0,"29/12/1987","1102 - Elaboración de vinos","-","Entre 300 y 600 mil €","2011: 
2012: 54,99 %
2013: 17,95 %","Menos de 5","2009: 100,00 %
2010: 100,00 %
2011: 100,00 %
2012: 100,00 %
2013: 50,00 %","2009: 0 %
2010: 0 %
2011: 0 %
2012: 0 %
2013: 50,00 %","947506659","Extinguida","http://www.bodegasparamodefresnedo.com","-","-","NO","Importa","1.021.099 €","2 (año 2013)","2013","Positivo Consultar","Aranda de Duero"
"1480","De Blas Serrano Sl","AVENIDA CASTILLA, 7 - 3 B",41.66880998,-3.69059604,"13/07/2005","1102 - Elaboración de vinos","A) LA ELABORACION, CRIANZA, ENVASADO Y COMERCIALIZACION DE TODO TIPO DE VINOS, INCLUIDOS LOS DE DENOMINACION DE ORIGEN. B) LA EXPORTACION E IMPORTACION DE TODO TIPO DE VINOS Y PRODUCTOS ALIMENTICIOS. C) LAS EXPLOTACIONES","Menor de 300 mil €","2011: 
2012: 14,82 %
2013: 17,56 %","Menos de 5","2009: 50,00 %
2010: 100,00 %
2011: 100,00 %
2012: 100,00 %
2013: 100,00 %","2009: 50,00 %
2010: 0 %
2011: 0 %
2012: 0 %
2013: 0 %","947546146","Activa","-","-","-","NO","No constan","407.185 €","2 (año 2013)","2013","Negativo Consultar","Aranda de Duero"
"1491","Cuesta La Iglesia Sl.","AVENIDA BURGOS, 20 - PISO 4 A",41.66951071,-3.67913649,"21/07/2014","1102 - Elaboración de vinos","Elaboración, compra y venta de uvas, vinos y alcoholes. Cultivo de la vid y demás ramas relacionadas con el comercio de vinos y espirituosos. Construcción, compra, adquisición, arriendo de bodegas, almacenes, y destilerías. Compraventa de vinos y artículos de comercio, sean o no agrícolas","Menor de 300 mil €","2015: 
2016: 247,78 %","-","Administrador Solidario:  JOSE MARIA S...
 PEDRO ALVARO L...:  JOSE MARIA S...","Administrador Solidario: Administrador Solidario
 PEDRO ALVARO L...: Administrador Solidario","-","Activa","-","-","-","NO","No constan","3.300 €","-","-","Negativo Consultar","Aranda de Duero"
"1518","Bodega Tierra Aranda S.c.","CALLE SAN FRANCISCO, 74",41.678988,-3.685015,"10/09/1969","1102 - Elaboración de vinos","Elaboracion, crianza y venta de vino.Tiene una capacidad de produccionde 1.800.000 kgs y dispone de 130 depositos de hormigon.","Entre 1,5 y 3 millones €","2014: 
2015: -5 %
2016: 10,21 %
2018:  %","Entre 5 y 25","1999: 100,00 %
2000: 100,00 %
2014: 100,00 %
2015: 100,00 %
2016: 100,00 %","1999: 0 %
2000: 0 %
2014: 0 %
2015: 0 %
2016: 0 %","947501311","Activa","http://www.vinotierraranda.es","En Bodega Tierra Aranda tenemos una larga tradición de esfuerzo y constancia que marca los vinos D.O. Ribera del Duero que vas a disfrutar. ¡Descúbrelos! -","","NO","Exporta","1.282.957,18 €","9 (año 2019)","2019","Positivo Consultar","Aranda de Duero"
"1575","Pagos Turo Sl.","PLAZA JARDINES DE DON DIEGO, 4 - PISO 7 B",41.66995897,-3.68472251,"24/05/2013","1102 - Elaboración de vinos","Elaboración, crianza, embotellado y venta de vinos y todo tipo de bebidas alcohólicas o no y el comercio mayor y menor de estos y de productos alimenticios. Servicios de hostelería, restauración, alojamiento. Espetáculo y turismo. Actividades agricolas y ganaderas. Ejecución conservación de obras","-","Administrador Solidario:  JOSE ANGEL S...
Administrador Solidario:  JUAN PABLO P...","-","-","-","-","Activa","-","-","-","NO","No constan","3.400 €","-","-","Negativo Consultar","Aranda de Duero"
"1898","Diaz Bayo Hermanos Sl","CALLE POSTAS, 14 - BJ",41.66981551,-3.68689341,"28/04/1994","1102 - Elaboración de vinos","PROMOCION, REHABILITACION, CONSTRUCCION, PARCELACION Y EXPLOTACION DE EDIFICIOS COMPRAVENTA DE INMUEBLES COMPRAVENTA DE ANIMALES DE RAZA EQUINA Y PERROS ACTIVIDADES AGRICOLAS Y GANADERAS.","-","Administrador Único:  MANUEL M...","-","-","-","947561020","Activa","http://www.bodegadiazbayo.com","Premium Fincas empezó desde el siglo XIX cuando la familia Montaña elabora vino en Fuenmayor, corazón de la Rioja Alta. Bajo diversas marcas de reconocimiento internacional, crea vinos de gran finura y elegancia, con un profundo respeto por los frutos de la tierra. -","","NO","No constan","1.354.098,06 €","-","-","Positivo Consultar","Aranda de Duero"
"1934","Bodega Coop San Pedro Regalado","CARRETERA AGUILERA",41.731513,-3.772919,"10/09/1969","1102 - Elaboración de vinos","Elaboracion y crianza de vino, tiene la denominacion de origen de Ribera del Duero.","-","1996: 100,00 %
0 %: 1997
100,00 %: 0 %
1998: 100,00 %
0 %: 1999
100,00 %: 0 %
2000: 100,00 %
0 %: 100,00 %","Menos de 5","Presidente Consejo Rector:  PRIMITIVO R...
 JOSE LUIS G...:  PRIMITIVO R...","Presidente Consejo Rector: Secretario Consejo Rector
 JOSE LUIS G...: Secretario Consejo Rector","947545017","Activa","-","-","-","NO","Importa y Exporta","63.714,54 €","4 (año 2011)","2011","Positivo Consultar","Aranda de Duero"
"2080","Bodega Y Viñedos Artio Sl.","CALLE BAJADA AL MOLINO, 19 - PISO 3 A",41.66946996,-3.68361269,"27/06/2016","1102 - Elaboración de vinos","Elaboración y Crianza, así como embotellado de vinos, mostos, derivados y todo tipo de bebidas alcohólicas o no, así como el comercio mayor y menor de estos productos. Actividades agrícolas y gnanaderas de todo tipo, así como comercio al mayor y menor de productos para estas actividades","-","Administrador Único:  PEDRO I...","-","-","-","-","Activa","-","-","-","NO","No constan","3.000 €","-","-","Positivo Consultar","Aranda de Duero"
"2081","Vins&mets Sl.","CALLE MORATIN, 17 - PISO 5 D",41.67395391,-3.68437013,"25/07/2016","1102 - Elaboración de vinos","Compraventa de alimentos y bebidas. Elaboración y crianza de vino, su embotellado y venta, así como de mostos y derivados. Explotaciones agrícolas. Prestaciones de servicios agrícolas a terceros. Intermediación del comercio. Actuaciones musicales y artísticas. Trabajos y servicios audiovisuales","Menor de 300 mil €","2016: ","-","Administrador Solidario:  ROBERTO GABRIEL R...
 MINERVA L...:  ROBERTO GABRIEL R...","Administrador Solidario: Administrador Solidario
 MINERVA L...: Administrador Solidario","-","Activa","-","-","-","NO","No constan","3.000 €","-","-","Negativo Consultar","Aranda de Duero"
"2137","Sat San Pablo","CALLE SAN FRANCISCO, 26",41.67428782,-3.68580156,"31/07/1982","1102 - Elaboración de vinos","CULTIVO DE VIQEDOS Y ELABORACION DE VINOS","-","Vocal del Consejo Rector:  GREGORIO A...","-","-","-","947501302","Activa","http://www.cantaburros.es","- -","","NO","No constan","-","-","-","-","Aranda de Duero"
