Denominación_social,Domicilio_social,Latitud,Longitud,Fecha_constitución,CNAE,Objeto_social,Tamaño_empresa_por_facturación,Índice_crec_interanual_ventas,Tamaño_empresa_por_empleados,Empleo_fijo,Empleo_temporal,Teléfono,Estado,URL,Metatag_descripción,RRSS,Cotización_en_bolsa,Actividad_internacional,Capital_social,Empleados,Empleados_año,Resultado
Movielca Aranda Sll,"AVENIDA LUIS MATEOS, 108",41.664767,-3.704617,29/09/1998,4520 - Mantenimiento y reparación de vehículos de motor,Taller de vehículos industriales.,"Entre 0,6 y 1,5 millones €","2017: 
2018: 16,41 %
2019: -5,68 %",Entre 5 y 25,"2015: 100,00 %
2016: 87,50 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2015: 0 %
2016: 12,50 %
2017: 0 %
2018: 0 %
2019: 0 %",947508140,Activa,-,-,-,NO,No constan,"38.512,86 €",8 (año 2020),2020,Positivo Consultar
Garcia Calvo Express Sl.,"CALLE PLATA, 11 - PISO 2 B",41.6724206,-3.68865246,16/11/2017,"4711 - Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco","Gestión y explotación en cualquier forma, de establecimientos dedicados a la comercialización, al por mayor o por menor, de productos alimenticios y alimentarios, incluida la explotación de mercados, supermercados e hipermercados de alimentación. Venta de artículos para limpieza y hogar","Entre 0,6 y 1,5 millones €","2018: 
2019: 27,18 %",Entre 5 y 25,"2019: 100,00 %",2019: 0 %,-,Activa,-,-,-,NO,No constan,50.000 €,9 (año 2019),2019,Positivo Consultar
Exclusivas Maquiusa Sl,"CARRETERA SINOVAS, 6",41.69838314,-3.66442482,04/02/1982,3519 - Producción de energía eléctrica de otros tipos,"Alquiler de naves industriales, locales, instalaciones eléctricas y fotovoltaicas.","Entre 0,6 y 1,5 millones €","2017: 
2018: -7,03 %
2019: 1,06 %",Menos de 5,"2015: 66,66 %
2016: 50,00 %
2017: 50,00 %
2018: 100,00 %
2019: 100,00 %","2015: 33,33 %
2016: 50,00 %
2017: 50,00 %
2018: 0 %
2019: 0 %",915171414,Activa,-,-,-,NO,No constan,30.050 €,2 (año 2019),2019,Positivo Consultar
Prointorsa Sl,"CALLE SANTIAGO, 27 - BJ",41.67296092,-3.67635167,06/05/1983,"4322 - Fontanería, instalaciones de sistemas de calefacción y aire acondicionado",Realización de instalaciones de climatización.,"Entre 0,6 y 1,5 millones €","2017: 
2018: 5,58 %
2019: 43,77 %",Entre 5 y 25,"2015: 72,72 %
2016: 80,00 %
2017: 100,00 %
2018: 87,50 %
2019: 77,77 %","2015: 27,27 %
2016: 20,00 %
2017: 0 %
2018: 12,50 %
2019: 22,22 %",947500965,Activa,http://www.prointorsa.com,"Mantenimiento de sistemas de calefacción, fontanería y electricidad tanto de viviendas individuales como de comunidades de vecinos  prointorsa, calefacción, mantenimiento, electricidad, Aranda de duero",,NO,No constan,"69.476,99 €",9 (año 2020),2020,Positivo Consultar
Salazones Yague Sl,"CALLE JUAN PADILLA, 16",41.67430317,-3.68393849,21/09/1998,"4638 - Comercio al por mayor de pescados, mariscos y otros productos alimenticios",A) LA VENTA AL POR MAYOR Y MENOR DE TODA CLASE DE ALIMENTOS. B) LA ELABORACION Y COMERCIALIZACION DE SALAZONES Y ESCABECHOS Y SECADO DE PESCADOS.,"Entre 0,6 y 1,5 millones €","2017: 
2018: -0,86 %
2019: -3,9 %",Menos de 5,"2015: 80,00 %
2016: 75,00 %
2017: 75,00 %
2018: 100,00 %
2019: 100,00 %","2015: 20,00 %
2016: 25,00 %
2017: 25,00 %
2018: 0 %
2019: 0 %",947508120,Activa,-,-,-,NO,No constan,"3.606,06 €",4 (año 2019),2019,Negativo Consultar
Automocion Sualdea Sl,"AVENIDA LUIS MATEOS, 126 - Y 128",41.66501971,-3.70696044,31/01/2006,4520 - Mantenimiento y reparación de vehículos de motor,"COMPRAVENTA, ALQUILER Y RENTING DE VEHICULOS DE TURISMO, INDUSTRIALES, ESPECIALES Y MAQUINARIA DE OBRAS PUBLICAS, ASI COMO SU EXPORTACION, IMPORTACION Y REPARACION. FABRICACION, MONTAJE, REPARACION Y MANTENIMIENTO DE CAR","Entre 0,6 y 1,5 millones €","2017: 
2018: -9,2 %
2019: 4,52 %",Entre 5 y 25,"2015: 80,00 %
2016: 60,00 %
2017: 60,00 %
2018: 50,00 %
2019: 66,66 %","2015: 20,00 %
2016: 40,00 %
2017: 40,00 %
2018: 50,00 %
2019: 33,33 %",947515959,Activa,-,-,-,NO,No constan,3.100 €,6 (año 2019),2019,Positivo Consultar
Freshmar Aranda Sl,"AVENIDA MURILLO, 11 - B",41.66044871,-3.68953113,19/06/1992,4723 - Comercio al por menor de pescados y mariscos en establecimientos especializados,Comercio al por mayor de pescados y mariscos,"Entre 0,6 y 1,5 millones €","2017: 
2018: -2,29 %
2019: -0,39 %",Menos de 5,"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %",947511693,Activa,-,-,-,NO,Importa,"3.005,06 €",3 (año 2020),2020,Positivo Consultar
Eusterio De Las Heras E Hijos Sl,"CALLE ZARAGOZA, 5",41.664264,-3.732117,12/03/1999,4520 - Mantenimiento y reparación de vehículos de motor,TODO LO RELACIONADO CON LA REPARACION DE AUTOMOVILES.,"Entre 0,6 y 1,5 millones €","2017: 
2018: 1,95 %
2019: 3,47 %",Entre 5 y 25,"2015: 91,66 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2015: 8,33 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %",947579584,Activa,-,-,-,NO,Importa,"128.917,8 €",12 (año 2019),2019,Positivo Consultar
Tecfrive Sl,"CALLE MONTELATORRE, 28 - PLT 4 B",41.67069004,-3.67712334,01/01/1996,"4322 - Fontanería, instalaciones de sistemas de calefacción y aire acondicionado","A) INSTALACIONES DE FRIO, CALOR Y ACONDICIONAMIENTO DE AIRE. B) INSTALACIONES DE FONTANERIA. C) COMERCIO AL POR MENOR DE MAQUINARIA PARA LA HOSTELERIA, DE FRIO INDUSTRIAL Y DE REFRIGERACION INDUSTRIAL.","Entre 0,6 y 1,5 millones €","2017: 
2018: -5,18 %
2019: 18,6 %",Entre 5 y 25,"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 87,50 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 12,50 %",947515404,Activa,-,-,-,NO,No constan,"15.506,11 €",8 (año 2019),2019,Positivo Consultar
Carniceria Hermanos Arranz Sl,"CALLE FERNAN GONZALEZ, 28 - BJ",41.67160196,-3.67609116,03/01/1992,4722 - Comercio al por menor de carne y productos cárnicos en establecimientos especializados,"VENTA AL POR MAYOR Y AL POR MENOR DE CARNES, CHARCUTERIAS, ALIMENTACION EN GENERAL Y EXPLOTACIONES AGROPECUARIAS.","Entre 0,6 y 1,5 millones €","2017: 
2018: -1,62 %
2019: -4,63 %",Entre 5 y 25,"2015: 85,71 %
2016: 33,33 %
2017: 28,57 %
2018: 42,85 %
2019: 33,33 %","2015: 14,28 %
2016: 66,66 %
2017: 71,42 %
2018: 57,14 %
2019: 66,66 %",947505990,Activa,-,-,-,NO,No constan,"18.030,37 €",6 (año 2019),2019,Positivo Consultar
Radio Aranda Sa,"CALLE ISILLA, 2",41.67111252,-3.68704476,24/12/1985,6010 - Actividades de radiodifusión,SERVICIOS DE RADIODIFUSION,"Entre 0,6 y 1,5 millones €","2017: 
2018: -3,63 %
2019: -0,34 %",Entre 5 y 25,"2015: 83,33 %
2016: 92,30 %
2017: 92,30 %
2018: 92,30 %
2019: 100,00 %","2015: 16,66 %
2016: 7,69 %
2017: 7,69 %
2018: 7,69 %
2019: 0 %",947511600,Activa,http://www.radioaranda.es,Últimas noticias de Aranda de Duero. Accede a todos los contenidos de los programas de Radio Aranda y escucha la radio en directo. -,"https://www.facebook.com/cadenaser, https://www.facebook.com/Ser-Aranda-de-Duero-506350456423879/, https://facebook.com/RadioAranda, https://www.facebook.com/cadenaser, https://twitter.com/La_SER, https://twitter.com/Radio_Aranda, http://twitter.com/Radio_Aranda, http://www.twitter.com/La_SER, https://instagram.com/la_ser/, https://www.instagram.com/la_ser/?hl=es",NO,No constan,90.300 €,13 (año 2019),2019,Positivo Consultar
Recambios Callejo Sl,"CALLE SIMON DE COLONIA, 7 - 1 C",41.66796612,-3.69284553,27/01/1997,4532 - Comercio al por menor de repuestos y accesorios de vehículos de motor,"COMERCIALIZACION, AL POR MAYOR Y MENOR, POR CUENTA PROPIA Y EN COMISION, DEPOSITO O POR DELEGACION, DE TODA CLASE DE VEHICULOS, MAQUINARIA, NUEVOS O USADOS, DE UTILIZACION COMERCIAL, INDUSTRIAL O AGRICOLA.","Entre 0,6 y 1,5 millones €","2017: 
2018: 18,07 %
2019: -10,8 %",-,"Administrador:  ALEJANDRO C...
 LOURDES M...:  ALEJANDRO C...","Administrador: Administrador
 LOURDES M...: Administrador",947508606,Activa,-,-,-,NO,No constan,"3.005,06 €",-,-,Positivo Consultar
Gregorio Tudanca Sa,"CALLE ISILLA, 13",41.67125584,-3.68650215,26/05/1991,1071 - Fabricación de pan y de productos frescos de panadería y pastelería,FABRICACION DE PRODUCTOS DE PASTELERIA,"Entre 0,6 y 1,5 millones €","2017: 
2018: 0,83 %
2019: 3,94 %",Entre 5 y 25,"2015: 89,47 %
2016: 88,88 %
2017: 94,11 %
2018: 83,33 %
2019: 80,00 %","2015: 10,52 %
2016: 11,11 %
2017: 5,88 %
2018: 16,66 %
2019: 20,00 %",947501230,Activa,-,-,-,NO,No constan,"563.798,1 €",20 (año 2020),2020,Positivo Consultar
Tecnoaranda Logistics Sa,"CARRETERA N-I, KM 161,5",41.688046,-3.685553,14/11/2008,4941 - Transporte de mercancías por carretera,"TRANSPORTE DE MERCANCIAS. ALMACENAJE DE PRODUCTOS SIDEROMETALURGICOS, TEXTILES Y BEBIDAS. EXPLOTACION DE ENERGIAS RENOVABLES. COMPRAVENTA BIENES INMUEBLES. HOSTELERIA. COMERCIALIZACION DE PRODUCTOS ALIMENTICIOS Y DE AUTO","Entre 0,6 y 1,5 millones €","2017: 
2018: -49,45 %
2019: 110,62 %",Menos de 5,"2013: 100,00 %
2019: 0 %","2013: 0 %
2019: 100,00 %",947511901,Activa,-,-,-,NO,No constan,2.350.051 €,1 (año 2019),2019,Positivo Consultar
Iglevetrans Sl,CARRETERA N-I (KM 161),41.688046,-3.685553,07/09/1998,4941 - Transporte de mercancías por carretera,Transporte nacional e internacional de mercancías,"Entre 0,6 y 1,5 millones €","2017: 
2018: -12,91 %
2019: -27,66 %",Entre 5 y 25,"2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2017: 0 %
2018: 0 %
2019: 0 %",947503712,Activa,-,-,-,NO,No constan,"102.172,06 €",8 (año 2020),2020,Negativo Consultar
Tecnovin Ribera Sl.,"CALLE OPORTO, 8",41.667321,-3.709132,01/01/2013,4778 - Otro comercio al por menor de artículos nuevos en establecimientos especializados,Comercio al menor de toda clase de maquinaria destinada a bodegas.,"Entre 0,6 y 1,5 millones €","2017: 
2018: 10,76 %
2019: 9,25 %",Entre 5 y 25,"2015: 50,00 %
2016: 60,00 %
2017: 75,00 %
2018: 80,00 %
2019: 100,00 %","2015: 50,00 %
2016: 40,00 %
2017: 25,00 %
2018: 20,00 %
2019: 0 %",947517140,Activa,http://www.tecnovin.es,"Tecnovín es un grupo de empresas de servicios para el sector agroalimentario y bodegas. Comercialización de productos enológicos y barricas. Tecnovín, tratamientos vinícolas, bodegas, industria agroalimentaria, enología, productos enológicos, barricas, instalaciones de fluidos, Aranda de Duero, Ribera del Duero",,NO,No constan,6.000 €,5 (año 2020),2020,Positivo Consultar
Electrotecnia J. Alonso S.l.,"CALLE SANTO DOMINGO, 1 - BJ",41.66890084,-3.69161134,09/12/1993,4321 - Instalaciones eléctricas,"Instalaciones eléctricas, de calefacción y climatización y su mantenimiento.","Entre 0,6 y 1,5 millones €","2017: 
2018: 25,6 %
2019: -6,58 %",Entre 5 y 25,"2015: 90,90 %
2016: 72,72 %
2017: 66,66 %
2018: 66,66 %
2019: 63,63 %","2015: 9,09 %
2016: 27,27 %
2017: 33,33 %
2018: 33,33 %
2019: 36,36 %",947500584,Activa,http://www.justoalonso.com,- -,,NO,No constan,"42.070,85 €",11 (año 2020),2020,Positivo Consultar
Autocares Patri Sa,"CALLE SAN FRANCISCO, 94",41.679099,-3.685163,08/03/1988,4931 - Transporte terrestre urbano y suburbano de pasajeros,Transporte de viajeros por carretera discrecional,"Entre 0,6 y 1,5 millones €","2017: 
2018: -0,09 %
2019: 9,22 %",Entre 5 y 25,"2015: 91,66 %
2016: 84,61 %
2017: 91,66 %
2018: 81,81 %
2019: 75,00 %","2015: 8,33 %
2016: 15,38 %
2017: 8,33 %
2018: 18,18 %
2019: 25,00 %",947506976,Activa,http://www.autocarespatri.net,-,-,NO,No constan,"192.924,89 €",11 (año 2020),2020,Negativo Consultar
Arandental Original Sl,"AVENIDA FERIAL, 9 - BJ",41.67342963,-3.68418197,29/05/2006,8623 - Actividades odontológicas,"MONTAJE, INSTALACION, EXPLOTACION Y ADMINISTRACION DE CLINICAS MEDICAS ODONTOLOGICAS Y ESTOMATOLOGICAS, ENGLOBANDO TODA AQUELLA PRACTICA ODONTOLOGICA EN GENERAL, INCLUIDA LA MECANICA DENTAL, DEPOSITO DENTAL: LA EXPLOTACI","Entre 0,6 y 1,5 millones €","2018: 
2019: 13,63 %",Entre 5 y 25,"2010: 100,00 %
2011: 100,00 %
2012: 77,77 %
2019: 80,00 %","2010: 0 %
2011: 0 %
2012: 22,22 %
2019: 20,00 %",947579507,Activa,-,-,-,NO,No constan,3.600 €,15 (año 2019),2019,Positivo Consultar
Martin Del Val Hermanos Sa,"CALLE AVILA, 4",41.665512,-3.708409,20/12/1982,4624 - Comercio al por mayor de cueros y pieles,"Comercio al por mayor de pieles de bovino, ovino y lanas.","Entre 0,6 y 1,5 millones €","2017: 
2018: -50,58 %
2019: -43,84 %",Menos de 5,"2015: 33,33 %
2016: 87,50 %
2017: 66,66 %
2018: 50,00 %
2019: 25,00 %","2015: 66,66 %
2016: 12,50 %
2017: 33,33 %
2018: 50,00 %
2019: 75,00 %",947500692,Activa,http://www.martindelval.com,- -,,NO,Importa y Exporta,"180.303,63 €",4 (año 2020),2020,Positivo Consultar
Transnumar Adl Centro Sl,"CALLE MARIA PACHECO, 5 - 1 D",41.67484,-3.684034,18/03/2005,4941 - Transporte de mercancías por carretera,Transporte de mercancías de todo tipo por carretera.,"Entre 0,6 y 1,5 millones €","2017: 
2018: -5,75 %
2019: 6,76 %",Entre 5 y 25,"2015: 87,50 %
2016: 88,88 %
2017: 75,00 %
2018: 77,77 %
2019: 87,50 %","2015: 12,50 %
2016: 11,11 %
2017: 25,00 %
2018: 22,22 %
2019: 12,50 %",947516870,Activa,-,-,-,NO,No constan,30.000 €,8 (año 2019),2019,Positivo Consultar
Revestimientos Rojo Sl,"AVENIDA MURILLO, 7 - 2 A",41.66030289,-3.68760708,29/12/2003,4339 - Otras actividades de acabado de edificios,"LA CONSTRUCCION, REPARACION, CONSERVACION E IMPERMEABILIZACION, POR CUALQUIER PROCEDIMIENTO DE TODO TIPO DE EDIFICIOS. EL COMERCIO AL POR MAYOR Y MENOR DE ARTICULOS DE DROGUERIA, COSMETICOS Y PRODUCTOS QUIMICOS EN GENERA","Entre 0,6 y 1,5 millones €","2017: 
2018: 39,78 %
2019: 37,44 %",Menos de 5,"2015: 100,00 %
2016: 100,00 %
2017: 66,66 %
2018: 57,14 %
2019: 100,00 %","2015: 0 %
2016: 0 %
2017: 33,33 %
2018: 42,85 %
2019: 0 %",947559397,Activa,-,-,-,NO,No constan,3.006 €,4 (año 2019),2019,Positivo Consultar
Cuadradero Sl.,"CALLE SAN ANTONIO, 5 - B",41.67261496,-3.68603999,01/10/2014,5629 - Otros servicios de comidas,La actividad de hostelería y otros servicios de comidas,"Entre 0,6 y 1,5 millones €","2017: 
2018: 2,1 %
2019: 21,06 %",Entre 5 y 25,"2015: 9,09 %
2016: 7,69 %
2017: 90,00 %
2018: 100,00 %
2019: 92,30 %","2015: 90,90 %
2016: 92,30 %
2017: 10,00 %
2018: 0 %
2019: 7,69 %",-,Activa,-,-,-,NO,No constan,3.000 €,13 (año 2019),2019,Positivo Consultar
Centro Policlinico Aranda Sl,"CALLE ANTONIO Y MANUEL CEBAS, 1 - BJ",41.66619725,-3.68888316,05/04/2004,8621 - Actividades de medicina general,"CONSULTORIO DE MEDICINA GENERAL. CENTRO SANITARIO Y CLINICO DE URGENCIAS. SERVICIOS SANITARIOS SIN INTERNADO. RECONOCIMIENTOS MEDICOS. SERVICIOS DE ENFERMERIA EN GENERAL, DE REHABILITACION. TRATAMIENTOS DE BELLEZA. PARAF","Entre 0,6 y 1,5 millones €","2017: 
2018: -2,34 %
2019: 16,29 %",Entre 5 y 25,"2015: 100,00 %
2016: 92,85 %
2017: 92,85 %
2018: 92,30 %
2019: 87,50 %","2015: 0 %
2016: 7,14 %
2017: 7,14 %
2018: 7,69 %
2019: 12,50 %",947048300,Activa,http://www.centropoliclinicoaranda.com,"Centro Políclinico Aranda dispone de un amplio cuadro médico, así como de pruebas diagnósticas y servicios de enfermería y Rehabilitación Centro policlínico Arnada, médico, Aranda de duero, especialistas, enfermería, rehabilitación, mutuas, seguros, medicina, traumatología, dermatología,alergología,Oftalmología,Otorrino, Cirugía, digestivo, Ginecología. Logopeda, Urología, Enfermería, Rehabilitación, Ecografía de Alta Resolución, Radiología, Resonancia Magnética Abierta
 ",https://www.facebook.com/Centro-Policlinico-Aranda-1498622277065378/,NO,No constan,4.000 €,16 (año 2019),2019,Positivo Consultar
Gearga Sl,"AVENIDA VALLADOLID, 2",41.67181773,-3.69443616,30/10/1991,"4776 - Comercio al por menor de flores, plantas, semillas, fertilizantes, animales de compañía y alimentos para los mismos en establecimientos especializados",Tienda de animales.,"Entre 0,6 y 1,5 millones €","2017: 
2018: -8,17 %
2019: -32,82 %",Menos de 5,"2015: 80,00 %
2016: 100,00 %
2017: 66,66 %
2018: 85,71 %
2019: 100,00 %","2015: 20,00 %
2016: 0 %
2017: 33,33 %
2018: 14,28 %
2019: 0 %",947500443,Activa,-,-,-,NO,No constan,"28.848,96 €",2 (año 2019),2019,Positivo Consultar
Neuriberhotel Sl.,"CALLE SAN FRANCISCO, 1 - BJ",41.67217471,-3.68542158,28/04/2017,5510 - Hoteles y alojamientos similares,"Explotación industrial de las actividades de hostelería, salas de fiesta, discotecas, restaurantes, cafeterías y establecimientos similares","Entre 0,6 y 1,5 millones €","2017: 
2018: 139,74 %
2019: 8 %",Entre 5 y 25,"2017: 80,00 %
2018: 78,57 %
2019: 58,33 %","2017: 20,00 %
2018: 21,42 %
2019: 41,66 %",-,Activa,-,-,-,NO,No constan,3.100 €,12 (año 2019),2019,Positivo Consultar
