"Denominación_social";"Domicilio_social";"Latitud";"Longitud";"Fecha_constitución";"CNAE";"Objeto_social";"Tamaño_empresa_por_facturación";"Índice_crec_interanual_ventas";"Tamaño_empresa_por_empleados";"Empleo_fijo";"Empleo_temporal";"Teléfono";"Estado";"URL";"Metatag_descripción";"RRSS";"Cotización_en_bolsa";"Actividad_internacional";"Capital_social";"Empleados";"Empleados_año";"Resultado";"stringasfactor"
"Blazquez Vision Sl.";"PLAZA SANTA MARIA, 4 - BJ";41,67111952;-3,68914564;"07/01/2010";"4778 - Otro comercio al por menor de artículos nuevos en establecimientos especializados";"Desarrollo de las actividades propias de los opticos, opto-metristas y de los audio-protesistas. Fabricacion, compraventa y distribucion de los servicios relacionados con los articulos sanitarios. Explotacion de inmuebles. Realizacion de estudios para cualquier actividad industrial de construccion.";"Entre 300 y 600 mil €";"2017: 
2018: -8,3 %
2019: 2,72 %";"Entre 5 y 25";"2015: 83,33 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %";"2015: 16,66 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %";"947511533";"Activa";"-";"-";"-";"NO";"Importa";"258.000 €";"6 (año 2019)";"2019";"Negativo Consultar";FALSE
"Carrasco Correduria De Seguros Sl";"AVENIDA MIRANDA DO DOURO, 4";41,6681129;-3,68760124;"22/12/1989";"6622 - Actividades de agentes y corredores de seguros";"CORREDURIA DE SEGUROS. SOMETIMIENTO A LA NORMATIVA DE MEDIACION EN SEGUROS PRIVADOS Y LEGISLACION VIGENTE. LEY 9.92.";"Entre 300 y 600 mil €";"2017: 
2018: -5,99 %
2019: 2,86 %";"Entre 5 y 25";"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 85,71 %
2019: 46,15 %";"2015: 0 %
2016: 0 %
2017: 0 %
2018: 14,28 %
2019: 53,84 %";"947257725";"Activa";"-";"-";"-";"NO";"No constan";"12.020,24 €";"13 (año 2019)";"2019";"Negativo Consultar";FALSE
"Productos Y Sistemas De Higiene Velasco Sl";"CALLE OPORTO (POL INDUSTRIAL ALLENDEDUERO), 10";41,667487;-3,709205;"06/03/2003";"4775 - Comercio al por menor de productos cosméticos e higiénicos en establecimientos especializados";"COMERCIO DE PRODUCTOS PARA LA HIGIENE Y EL ASEO PERSONAL. PERFUMERIA, DROGUERIA, LIMPIEZA, PAPELES Y PRODUCTOS QUIMICOS. COMPRA Y VENTA DE MAQUINARIA INDUSTRIAL, ASI COMO SU ALQUILER Y REPARACION";"Entre 300 y 600 mil €";"2016: 
2017: 6,88 %
2018: 1,82 %";"Entre 5 y 25";"2014: 75,00 %
2015: 80,00 %
2016: 80,00 %
2017: 100,00 %
2018: 83,33 %";"2014: 25,00 %
2015: 20,00 %
2016: 20,00 %
2017: 0 %
2018: 16,66 %";"947513018";"Activa";"-";"-";"-";"NO";"No constan";"60.000 €";"6 (año 2018)";"2018";"Positivo Consultar";FALSE
"Diy Sistemas Constructivos Sl.";"CALLE CHOPO, 20 - PISO 2 B";41,67373632;-3,69207809;"21/01/2015";"4121 - Construcción de edificios residenciales";"-Diseño, fabricación, construcción y venta de edificaciones. -Servicios de ingeniería. -Fabricación de estructuras metálicas y sus componentes";"Entre 300 y 600 mil €";"2016: 
2017: 46,09 %
2018: 3,37 %";"Menos de 5";"2016: 100,00 %
2017: 66,66 %
2018: 50,00 %";"2016: 0 %
2017: 33,33 %
2018: 50,00 %";"-";"Activa";"-";"-";"-";"NO";"No constan";"30.000 €";"4 (año 2018)";"2018";"Positivo Consultar";FALSE
"Optica De Aranda Sl";"CALLE POSTAS, 14 - BJ";41,66981551;-3,68689341;"24/07/2008";"4778 - Otro comercio al por menor de artículos nuevos en establecimientos especializados";"Comercio al menor de articulos de optica-.";"Entre 300 y 600 mil €";"2017: 
2018: 12,43 %
2019: -5,84 %";"Entre 5 y 25";"2013: 100,00 %
2014: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 80,00 %";"2013: 0 %
2014: 0 %
2017: 0 %
2018: 0 %
2019: 20,00 %";"947559515";"Activa";"-";"-";"-";"NO";"No constan";"24.000 €";"5 (año 2019)";"2019";"Positivo Consultar";FALSE
"Gaser Aranda Sl";"CALLE ISILLA, 2 - 2";41,67111252;-3,68704476;"08/06/1982";"6920 - Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal";"-";"Entre 300 y 600 mil €";"2017: 
2018: 1,66 %
2019: 0,44 %";"Entre 5 y 25";"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %";"2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %";"947510344";"Activa";"-";"-";"-";"NO";"No constan";"3.005,06 €";"11 (año 2019)";"2019";"Positivo Consultar";FALSE
"Talleres Hergoa Sl";"CARRETERA SALAS DE LOS INFANTES (KM 1)";41,675033;-3,689054;"01/07/1982";"2550 - Forja, estampación y embutición de metales; metalurgia de polvos";"EL ARRENDAMIENTO DE TERRENOS, LOCALES INDUSTRIALES, DE NEGOCIO Y DEMAS BIENES INMUEBLES DE NATURALEZA URBANA.";"Entre 300 y 600 mil €";"2016: 
2017: 3,79 %
2018: -27,05 %";"Entre 5 y 25";"2014: 88,88 %
2015: 75,00 %
2016: 87,50 %
2017: 100,00 %
2018: 88,88 %";"2014: 11,11 %
2015: 25,00 %
2016: 12,50 %
2017: 0 %
2018: 11,11 %";"-";"Activa";"-";"-";"-";"NO";"No constan";"112.689,77 €";"9 (año 2018)";"2018";"Negativo Consultar";FALSE
"Inglago Sl";"CALLE PICOTE (PG INDUSTRIAL ALLENDEDUERO), PAR R 21";41,67187157;-3,70580847;"27/10/1997";"2222 - Fabricación de envases y embalajes de plástico";"FABRICACION Y COMERCIALIZACION DE ENVASES DE PLASTICO PARA EL SECTOR DE LA ALIMENTACION";"Entre 300 y 600 mil €";"2016: 
2017: -12,84 %
2018: 6,47 %";"Menos de 5";"2014: 66,66 %
2015: 100,00 %
2016: 66,66 %
2017: 66,66 %
2018: 66,66 %";"2014: 33,33 %
2015: 0 %
2016: 33,33 %
2017: 33,33 %
2018: 33,33 %";"947516837";"Activa";"http://www.inglago.com";"Inglago dispone de un extenso catálogo de productos centrado principalmente en la fabricación de Bandejas y Alvéolos interiores de uso alimentario -";"";"NO";"No constan";"12.020,24 €";"3 (año 2018)";"2018";"Positivo Consultar";FALSE
"Trascasa Gestion Correduria De Seguros Sl.";"CALLE SAN FRANCISCO, 27 - BIS BJ";41,67279865;-3,68564809;"09/11/2017";"6622 - Actividades de agentes y corredores de seguros";"La actividad de mediación en seguros privados en forma de correduría de seguros con sometimiento expreso a la Legislación vigente";"Entre 300 y 600 mil €";"2018: ";"Entre 5 y 25";"2018: 100,00 %";"2018: 0 %";"947510000";"Activa";"http://www.trascasaseguros.com";"- -";"";"NO";"No constan";"3.500 €";"5 (año 2018)";"2018";"Positivo Consultar";FALSE
"Multiservicios De La Ribera Sa";"CALLE SALAMANCA (PG IND IND ALLENDE DUERO), 2";41,66570098;-3,71592683;"29/04/2004";"4511 - Venta de automóviles y vehículos de motor ligeros";"LA ACTIVIDAD DE LA VENTA Y REPARACION DE TODA CLASE DE VEHICULOS Y MAQUINARIA AGRICOLA, RECAMBIOS, REPRESENTACION DE MARCAS, ASI COMO SU COMERCIALIZACION Y DISTRIBUCION";"Entre 300 y 600 mil €";"2016: 
2017: 74,94 %
2018: 16,67 %";"Menos de 5";"2014: 100,00 %
2015: 100,00 %
2016: 66,66 %
2017: 50,00 %
2018: 75,00 %";"2014: 0 %
2015: 0 %
2016: 33,33 %
2017: 50,00 %
2018: 25,00 %";"947514112";"Activa";"-";"-";"-";"NO";"No constan";"150.000 €";"4 (año 2018)";"2018";"Positivo Consultar";FALSE
"Grupo Mecanico Castellano Sa";"CARRETERA N-I (MADRID-IRUN), 161";41,70415493;-3,68571353;"23/10/1991";"4520 - Mantenimiento y reparación de vehículos de motor";"LA COMPRAVENTA Y PRESTACION DE SERVICIOS RELACIONADOS CON TODA CLASE DE VEHICULOS AUTOMOVILES. LA INVERSION INMOBILIARIA. LA TITULARIDAD Y EXPLOTACION COMERCIAL DE PATENTES, MARCAS, MODELOS, NOMBRES COMERCIALES Y ROTULOS";"Entre 300 y 600 mil €";"2017: 
2018: -16,11 %
2019: 17,3 %";"Entre 5 y 25";"2015: 80,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %";"2015: 20,00 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %";"947510743";"Activa";"http://www.grumeca.es";"- -";"";"NO";"No constan";"248.758 €";"6 (año 2019)";"2019";"Negativo Consultar";FALSE
"Integral Aranda Asesoria De Empresas Sl";"CALLE POSTAS, 14 - BJ";41,66981551;-3,68689341;"09/09/1993";"6920 - Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal";"LA PRESTACION DE SERVICIOS DE MATERIA FISCAL, LABORAL, ECONOMICA FINANCIERA, TENEDURIA DE LIBROS, CENSURA DE CUENTAS, AUDITORIA. ASI COMO CUALQUIER OTRO SERVICIO INDEPENDIENTE DE ASESORA FISCAL, LABORAL CONTABLE.";"Entre 300 y 600 mil €";"2017: 
2018: 6,41 %
2019: 3,23 %";"Entre 5 y 25";"2015: 100,00 %
2016: 100,00 %
2017: 87,50 %
2018: 85,71 %
2019: 87,50 %";"2015: 0 %
2016: 0 %
2017: 12,50 %
2018: 14,28 %
2019: 12,50 %";"947509696";"Activa";"http://www.integralaranda.es";"Ofrecemos asesoramiento fiscal, contable, mercantil y laboral a empresas al igual que en nuestra correduría de seguros le ofrecemos la solución que necesita para garantizar su seguridad y la de los suyos. Asesoría de Empresas, Correduría de Seguros, Gestoría Administrativa, Aranda de Duero, FIscal, Laboral, Contable, Contabilidad, Gestión y Administración, Tipos de Sociedades, Obligaciones Fiscales, Seguros, Presupuestos, Vida";"http://www.facebook.com/integralaranda";"NO";"No constan";"3.005,06 €";"8 (año 2019)";"2019";"Positivo Consultar";FALSE
"Loteria Mayte Sl.";"CALLE SANTA LUCIA, 11 - BJ";41,67014177;-3,68718344;"30/11/2011";"9200 - Actividades de juegos de azar y apuestas";"Comercialización y asesoramiento de Juegos y Apuestas del Estado. Dar servicios a gestores de Juegos y empresas relacionadas con los Juegos del Estado, de promoción y gestión comercial, distribución, organización publicitaria, sellado de décimos, bien por medios propios o contratando a otras empresas";"Entre 300 y 600 mil €";"2017: 
2018: -3,03 %
2019: -2,34 %";"Menos de 5";"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %";"2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %";"947505627";"Activa";"-";"-";"-";"NO";"No constan";"4.000 €";"4 (año 2019)";"2019";"Negativo Consultar";FALSE
"Jose Maria Albertos Sl";"CALLE PIZARRO, S/N";41,67042862;-3,675614;"28/01/1993";"4677 - Comercio al por mayor de chatarra y productos de desecho";"EL COMERCIO AL POR MAYOR Y POR MENOR DE CHATARRA Y MATERIALES DE DESECHO.";"Menor de 300 mil €";"2017: 
2018: 8,73 %
2019: -55,02 %";"Entre 5 y 25";"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %";"2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %";"-";"Activa";"-";"-";"-";"NO";"No constan";"60.101,21 €";"5 (año 2019)";"2019";"Positivo Consultar";FALSE
"Borreguero Operador De Transportes Sl.";"AVENIDA MONTECILLO (POL INDUSTRIAL ALLENDEDU), 65";41,67148669;-3,70939815;"17/03/2015";"4941 - Transporte de mercancías por carretera";"El transporte de mercancías por carretera, ferrocarril o barco, la agencia de transportes, el almacenista distribuidor, el transitario y el operador de transportes";"Entre 300 y 600 mil €";"2017: 
2018: -9,17 %
2019: 7,97 %";"Menos de 5";"2015: 50,00 %
2016: 33,33 %
2017: 66,66 %
2018: 100,00 %
2019: 100,00 %";"2015: 50,00 %
2016: 66,66 %
2017: 33,33 %
2018: 0 %
2019: 0 %";"-";"Activa";"-";"-";"-";"NO";"No constan";"45.000 €";"3 (año 2019)";"2019";"Positivo Consultar";FALSE
"Bodegas Garcia De Aranda Sa";"CARRETERA SORIA, S/N";41,648422;-3,673968;"31/12/1981";"1102 - Elaboración de vinos";"Fabricación y comercialización de vinos con denominación de origen, Ribera de Duero.";"Entre 300 y 600 mil €";"2016: 
2017: -24,49 %
2018: -32,88 %";"Entre 5 y 25";"2014: 100,00 %
2015: 100,00 %
2016: 80,00 %
2017: 100,00 %
2018: 100,00 %";"2014: 0 %
2015: 0 %
2016: 20,00 %
2017: 0 %
2018: 0 %";"947501817";"Activa";"http://www.bodegasgarcia.com";"- -";"https://www.facebook.com/bodegasgarciadearanda";"NO";"Exporta";"107.941,77 €";"6 (año 2019)";"2019";"Negativo Consultar";FALSE
"Automoviles Marro Sl";"CALLE VALLADOLID (PG IN -PAR 0141)";41,668553;-3,69979;"13/12/1988";"4520 - Mantenimiento y reparación de vehículos de motor";"VENTA DE TODA CLASE DE VEHICULOS, TANTO NUEVOS COMO USADOS, SU REPARACION, COMERCIALIZACION Y TODO LO RELACIONADO CON LA AUTOMOCION. LA MEDIACION DE SEGUROS, QUEDANDO EXCLUIDAS LAS ACTIVIDADES PROPIAS DE CORREDOR DE SEGU";"Entre 300 y 600 mil €";"2017: 
2018: 9,98 %
2019: -2,58 %";"Entre 5 y 25";"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 85,71 %";"2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 14,28 %";"947502302";"Activa";"http://www.autosmarro.toyota.es";"Taller Toyota en BURGOS, Taller en España, AUTOMÓVILES MARRO S.L.. Taller oficial con servicio de mantenimiento, exposición y venta de vehículos con accesorios originales de la marca. -";"";"NO";"No constan";"90.150 €";"7 (año 2019)";"2019";"Positivo Consultar";FALSE
"Representaciones Medem Sl";"PLAZA JARDINES DE DON DIEGO, 1 - 4ºD";41,66986921;-3,68616389;"05/03/2003";"9329 - Otras actividades recreativas y de entretenimiento";"LA INTERMEDIACION EN LA CELEBRACION DE ESPECTACULOS EN GENERAL, ASI COMO LA REPRESENTACION DE ARTISTAS";"Entre 300 y 600 mil €";"2016: 
2017: 8,2 %
2018: 6,43 %";"Menos de 5";"2014: 100,00 %
2015: 100,00 %
2016: 100,00 %
2017: 100,00 %";"2014: 0 %
2015: 0 %
2016: 0 %
2017: 0 %";"-";"Activa";"-";"-";"-";"NO";"No constan";"3.010 €";"1 (año 2018)";"2018";"Positivo Consultar";FALSE
"Ferreteria La Llave Aranda Sl";"CALLE RONDA, 11";41,67060957;-3,68612382;"15/01/1994";"4752 - Comercio al por menor de ferretería, pintura y vidrio en establecimientos especializados";"LA COMERCIALIZACION, VENTA, FABRICACION Y REPARACION DE MAQUINARIA AGRICOLA, FERRETERIA, QUINCALLERIA. MATERIAL ELECTRICO, ACEROS, MADERAS. VIDRIO, PINTURAS. FONTANERIA, ARTICULOS ARMERIA ACTIVIDADES INMOBILIARIAS.";"Entre 300 y 600 mil €";"2017: 
2018: 1,83 %
2019: 18,13 %";"Menos de 5";"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %";"2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %";"947500338";"Activa";"-";"-";"-";"NO";"No constan";"86.305,34 €";"4 (año 2019)";"2019";"Positivo Consultar";FALSE
"Tecnoaranda Logistics Sa";"CARRETERA N-I, KM 161,5";41,688046;-3,685553;"14/11/2008";"4941 - Transporte de mercancías por carretera";"TRANSPORTE DE MERCANCIAS. ALMACENAJE DE PRODUCTOS SIDEROMETALURGICOS, TEXTILES Y BEBIDAS. EXPLOTACION DE ENERGIAS RENOVABLES. COMPRAVENTA BIENES INMUEBLES. HOSTELERIA. COMERCIALIZACION DE PRODUCTOS ALIMENTICIOS Y DE AUTO";"Entre 0,6 y 1,5 millones €";"2017: 
2018: -49,45 %
2019: 110,62 %";"Menos de 5";"2013: 100,00 %
2019: 0 %";"2013: 0 %
2019: 100,00 %";"947511901";"Activa";"-";"-";"-";"NO";"No constan";"2.350.051 €";"1 (año 2019)";"2019";"Positivo Consultar";FALSE
"Construcciones Sancho Palacios Sl";"CALLE PIO XII, 1 - 1 A";41,67758628;-3,6856228;"25/01/2001";"4122 - Construcción de edificios no residenciales";"1. LA CONSTRUCCION COMPLETA, REPARACION Y CONSERVACION DE EDIFICACIONES. 2. EL ALQUILER DE MAQUINARIA Y EQUIPO PARA LA CONSTRUCCION. 3. LA PROMOCION Y COMPRAVENTA DE INMUEBLES.";"Entre 300 y 600 mil €";"2017: 
2018: 26 %
2019: -3,92 %";"Menos de 5";"2015: 60,00 %
2016: 75,00 %
2017: 75,00 %
2018: 75,00 %
2019: 75,00 %";"2015: 40,00 %
2016: 25,00 %
2017: 25,00 %
2018: 25,00 %
2019: 25,00 %";"-";"Activa";"http://www.construccionessanchopalacios.es";"Somos Construcciones Sancho Palacios, una empresa de construcción de reconocido prestigio en Aranda de Duero. Le ofrecemos un servicio de primer nivel. -";"";"NO";"No constan";"6.600 €";"4 (año 2019)";"2019";"Positivo Consultar";FALSE
